hex,type,r,t,dbFlags,desc,alt_baro,alt_geom,gs,track,squawk,lat,lon,nic,rc,seen_pos,nac_p,nac_v,sil,sil_type,alert,spi,mlat,tisb,messages,seen,rssi
ae089c,adsb_icao,00-3575,TEX2,1,Raytheon T-6A Texan II,6000,6150,214.7,236.01,3374,33.622214,-86.910725,10,25,0.249,10,2,3,perhour,0,0,[],[],1413217,0.2,-12.8
acfbb7,adsb_icao,N9358L,C172,1,CESSNA 172 Skyhawk,1075,1025,103.0,11.2,4615,30.525009,-86.457286,9,75,0.0,10,2,3,perhour,0,0,[],[],9329482,0.0,-16.4
ae13c9,adsb_icao,04-3755,TEX2,1,Raytheon T-6A Texan II,14000,14500,280.1,239.77,7212,34.64003,-86.257866,10,25,0.064,10,2,3,perhour,0,0,[],[],708377,0.1,-20.1
ae0203,adsb_icao,98-3543,TEX2,1,Raytheon T-6A Texan II,10450,10800,263.0,249.29,1200,34.413757,-86.200244,10,25,0.355,10,2,3,perhour,0,0,[],[],717923,0.1,-22.7
ae5d5e,adsb_icao,16-20853,H60,1,SIKORSKY UH-60 Black Hawk,1350,1300,96.8,199.93,0,39.224543,-86.089294,8,186,18.077,10,4,3,perhour,0,0,[],[],965018,4.9,-23.9
ae4a1d,adsb_icao,166148,TEX2,1,Raytheon T-6B Texan II,2475,2575,222.4,228.28,1200,31.231431,-85.58476,8,186,0.089,10,2,3,perhour,0,0,[],[],5902631,0.1,-8.0
ae47a1,adsb_icao,08-20153,H60,1,SIKORSKY UH-60 Black Hawk,1975,1850,112.0,130.66,1200,44.692616,-84.720533,8,186,1.113,9,4,3,perhour,0,0,[],[],431084,1.1,-25.4
ae057b,mlat,87-0030,C5M,1,Lockheed C-5M Super Galaxy,36000,0,435.0,272.0,0554,38.742818,-84.571474,0,0,1.364,0,0,0,0,0,0,"['callsign', 'gs', 'track', 'baro_rate', 'squawk', 'lat', 'lon', 'nic', 'rc']",[],3871277,0.1,-9.3
ae2edf,adsb_icao,166098,TEX2,1,Raytheon T-6B Texan II,3000,3050,198.2,87.69,6276,34.098025,-84.533787,8,186,0.486,10,2,3,perhour,0,0,[],[],6705068,0.3,-21.8
ae29fe,adsb_icao,166695,B737,1,Boeing C-40A Clipper,39000,39650,483.4,116.41,1555,40.686859,-84.33429,8,186,0.249,9,1,3,perhour,0,0,[],[],9959693,0.0,-18.9
ae113f,adsb_icao,165973,TEX2,1,Raytheon T-6B Texan II,22850,23650,187.7,240.29,3377,33.488749,-83.594859,10,25,0.473,10,2,3,perhour,0,0,[],[],2825909,0.2,-17.1
ae04c8,mlat,59-1500,K35R,1,BOEING KC-135R/T Stratotanker,41025,0,492.0,146.0,3103,28.793246,-82.662313,0,0,0.5,0,0,0,0,0,0,"['gs', 'track', 'baro_rate', 'squawk', 'lat', 'lon', 'nic', 'rc']",[],6417717,0.5,-10.4
